"Município de residência";"2018";"2019";"2020";"2021";"2022";"2023";"Total"
"411325 LARANJAL";-;3;-;2;1;-;6
"411330 LARANJEIRAS DO SUL";8;7;9;11;9;1;45
"411340 LEOPOLIS";-;-;-;1;-;1;2
"411342 LIDIANOPOLIS";1;-;1;-;-;1;3
"411345 LINDOESTE";-;2;-;2;-;2;6
"411350 LOANDA";-;3;3;1;11;6;24
"411360 LOBATO";1;-;-;-;-;1;2
"411370 LONDRINA";187;171;195;220;230;272;1275
"411373 LUIZIANA";-;1;4;4;2;-;11
"411375 LUNARDELLI";2;-;1;-;-;-;3
"411380 LUPIONOPOLIS";2;3;1;-;-;1;7
"411390 MALLET";1;-;-;-;-;-;1
"411400 MAMBORE";9;5;2;5;2;-;23
"411410 MANDAGUACU";10;13;6;11;4;7;51
"411420 MANDAGUARI";-;5;4;5;4;3;21
"411430 MANDIRITUBA";6;2;2;8;6;6;30
"411435 MANFRINOPOLIS";-;-;-;1;-;-;1
"411440 MANGUEIRINHA";1;-;2;2;5;-;10
"411450 MANOEL RIBAS";5;1;2;3;4;2;17
"411460 MARECHAL CANDIDO RONDON";4;8;12;6;6;9;45
"411470 MARIA HELENA";-;-;-;2;-;6;8
"411480 MARIALVA";12;9;5;19;15;18;78
"411490 MARILANDIA DO SUL";4;2;3;4;1;2;16
"411500 MARILENA";3;4;1;1;4;8;21
"411510 MARILUZ";2;3;-;4;-;4;13
"411520 MARINGA";79;80;67;62;86;101;475
"411530 MARIOPOLIS";-;-;3;-;1;4;8
"411535 MARIPA";1;1;1;-;-;-;3
"411540 MARMELEIRO";-;-;1;3;1;1;6
"411550 MARUMBI";-;3;-;-;2;3;8
"411560 MATELANDIA";11;3;7;4;8;1;34
"411570 MATINHOS";14;18;18;18;21;26;115
"411573 MATO RICO";2;4;2;-;-;-;8
"411575 MAUA DA SERRA";-;-;1;1;2;2;6
"411580 MEDIANEIRA";8;10;12;6;13;12;61
"411585 MERCEDES";-;1;-;-;-;1;2
"411590 MIRADOR";-;-;2;2;1;1;6
"411600 MIRASELVA";1;-;-;1;-;-;2
"411605 MISSAL";-;-;-;1;-;-;1
"411610 MOREIRA SALES";7;-;3;2;-;2;14
"411620 MORRETES";7;3;4;5;3;8;30
"411630 MUNHOZ DE MELO";1;-;-;1;-;-;2
"411640 NOSSA SENHORA DAS GRACAS";2;-;-;-;-;-;2
"411660 NOVA AMERICA DA COLINA";-;-;-;2;1;1;4
"411670 NOVA AURORA";1;2;-;-;-;3;6
"411680 NOVA CANTU";2;3;-;3;1;1;10
"411690 NOVA ESPERANCA";9;7;4;6;3;4;33
"411695 NOVA ESPERANCA DO SUDOESTE";-;-;1;-;-;-;1
"411700 NOVA FATIMA";-;2;1;2;2;3;10
"411705 NOVA LARANJEIRAS";3;-;3;2;2;3;13
"411710 NOVA LONDRINA";2;2;4;3;2;4;17
"411720 NOVA OLIMPIA";-;1;-;-;2;4;7
"411721 NOVA SANTA BARBARA";3;3;2;2;4;5;19
"411722 NOVA SANTA ROSA";-;-;1;2;1;1;5
"411725 NOVA PRATA DO IGUACU";2;1;1;1;2;-;7
"411727 NOVA TEBAS";-;-;4;1;1;-;6
"411729 NOVO ITACOLOMI";1;1;-;-;-;-;2
"411730 ORTIGUEIRA";8;6;4;8;10;6;42
"411740 OURIZONA";1;2;-;-;-;1;4
"411745 OURO VERDE DO OESTE";-;-;1;-;2;3;6
"411750 PAICANDU";8;12;8;9;13;8;58
"411760 PALMAS";7;8;4;3;5;4;31
"411770 PALMEIRA";2;3;3;2;3;5;18
"411780 PALMITAL";-;1;2;3;5;4;15
"411790 PALOTINA";13;4;5;7;3;3;35
"411800 PARAISO DO NORTE";1;2;1;5;1;6;16
"411810 PARANACITY";1;3;1;1;1;-;7
"411820 PARANAGUA";143;125;82;114;129;108;701
"411840 PARANAVAI";34;30;41;18;13;26;162
"411845 PATO BRAGADO";-;-;-;-;1;-;1
"411850 PATO BRANCO";6;10;10;11;11;16;64
"411860 PAULA FREITAS";2;-;2;-;2;-;6
"411870 PAULO FRONTIN";-;-;1;-;1;1;3
"411880 PEABIRU";2;1;1;2;3;2;11
"411885 PEROBAL";3;2;1;-;-;1;7
"411890 PEROLA";6;4;4;2;-;2;18
"411900 PEROLA D'OESTE";-;-;-;2;-;-;2
"411910 PIEN";-;2;-;1;1;-;4
"411915 PINHAIS";53;39;41;33;38;29;233
"411920 PINHALAO";-;2;4;2;2;7;17
"411930 PINHAO";8;3;3;-;4;4;22
"411940 PIRAI DO SUL";4;4;8;5;7;2;30
"411950 PIRAQUARA";59;35;59;47;59;50;309
"411960 PITANGA";3;4;2;1;2;3;15
"411965 PITANGUEIRAS";-;-;-;1;1;1;3
"411970 PLANALTINA DO PARANA";-;-;1;-;1;2;4
"411980 PLANALTO";1;-;1;1;-;-;3
"411990 PONTA GROSSA";92;124;116;128;106;118;684
"411995 PONTAL DO PARANA";13;21;13;18;26;25;116
"412000 PORECATU";6;-;1;1;5;8;21
"412010 PORTO AMAZONAS";-;-;1;1;1;-;3
"412015 PORTO BARREIRO";-;-;-;1;-;-;1
"412020 PORTO RICO";-;1;-;-;-;2;3
"412030 PORTO VITORIA";2;-;-;-;-;-;2
"412033 PRADO FERREIRA";1;-;-;-;1;-;2
"412035 PRANCHITA";1;1;1;2;2;3;10
"412040 PRESIDENTE CASTELO BRANCO";-;-;1;1;2;-;4
"412050 PRIMEIRO DE MAIO";2;2;1;1;1;2;9
"412060 PRUDENTOPOLIS";6;4;2;3;1;1;17
"412070 QUATIGUA";2;-;2;2;3;-;9
"412080 QUATRO BARRAS";4;7;4;4;5;7;31
"412090 QUEDAS DO IGUACU";5;10;4;7;7;3;36
"412100 QUERENCIA DO NORTE";4;4;1;2;2;2;15
"412110 QUINTA DO SOL";-;-;-;-;1;-;1
"412120 QUITANDINHA";6;4;2;3;-;2;17
"412125 RAMILANDIA";4;1;1;-;2;-;8
"412130 RANCHO ALEGRE";-;1;-;-;-;-;1
"412135 RANCHO ALEGRE D'OESTE";-;2;2;-;2;-;6
"412140 REALEZA";1;1;-;1;-;1;4
"412150 REBOUCAS";-;3;3;-;2;-;8
"412160 RENASCENCA";1;-;-;-;1;-;2
"412170 RESERVA";4;6;-;5;6;3;24
"412175 RESERVA DO IGUACU";-;1;1;-;-;1;3
"412180 RIBEIRAO CLARO";1;-;5;3;3;2;14
"412190 RIBEIRAO DO PINHAL";2;2;-;4;6;3;17
"412200 RIO AZUL";-;2;1;2;2;3;10
"412210 RIO BOM";1;1;1;1;-;-;4
"412215 RIO BONITO DO IGUACU";1;2;-;2;4;-;9
